,state,action_space,reward,Q,action
54,"[1, 1]",r,0,0.0,3
55,"[0, 1]",u,0,0.0,0
56,"[0, 0]",d,0,0.0,1
57,"[0, 1]",d,0,0.0,1
58,"[0, 2]",u,0,0.0,0
59,"[0, 1]",d,0,0.0,1
60,"[0, 2]",r,0,0.0,3
61,"[0, 2]",r,0,0.0,3
62,"[0, 2]",u,0,0.0,0
63,"[0, 1]",d,0,0.0,1
64,"[0, 2]",d,0,0.0,1
65,"[0, 3]",d,0,0.0,1
66,"[0, 3]",d,0,0.0,1
67,"[0, 3]",u,0,0.0,0
68,"[0, 2]",d,0,0.0,1
69,"[0, 3]",r,0,0.0,3
70,"[0, 3]",r,0,0.0,3
71,"[0, 3]",r,0,0.0,3
72,"[0, 3]",u,0,0.0,0
73,"[0, 2]",r,0,0.0,3
74,"[0, 2]",d,0,0.0,1
75,"[0, 3]",r,0,0.0,3
76,"[0, 3]",l,0,0.0,2
77,"[1, 3]",d,0,0.0,1
78,"[1, 3]",r,0,0.0,3
79,"[0, 3]",l,0,0.0,2
80,"[1, 3]",r,0,0.0,3
81,"[0, 3]",l,0,0.0,2
82,"[1, 3]",l,0,9e-05,2
83,"[2, 3]",u,1,0.0199,0
84,"[0, 0]",r,0,0.0,3
85,"[0, 0]",r,0,0.0,3
86,"[0, 0]",l,0,0.0,2
87,"[1, 0]",u,0,0.0,0
88,"[1, 0]",r,0,0.0,3
89,"[0, 0]",r,0,0.0,3
90,"[0, 0]",l,0,0.0,2
91,"[1, 0]",l,0,0.0,2
92,"[2, 0]",u,0,0.0,0
93,"[2, 0]",u,0,0.0,0
94,"[2, 0]",l,0,0.0,2
95,"[3, 0]",u,0,0.0,0
96,"[3, 0]",r,0,0.0,3
97,"[2, 0]",u,0,0.0,0
98,"[2, 0]",l,0,0.0,2
99,"[3, 0]",d,0,0.0,1
100,"[3, 1]",r,-1,-0.01,3
101,"[0, 0]",r,0,0.0,3
102,"[0, 0]",l,0,0.0,2
103,"[1, 0]",r,0,0.0,3
104,"[0, 0]",r,0,0.0,3
105,"[0, 0]",r,0,0.0,3
106,"[0, 0]",l,0,0.0,2
107,"[1, 0]",d,0,0.0,1
108,"[1, 1]",u,0,0.0,0
109,"[1, 0]",d,0,0.0,1
110,"[1, 1]",r,0,0.0,3
111,"[0, 1]",r,0,0.0,3
112,"[0, 1]",d,0,0.0,1
113,"[0, 2]",d,0,0.0,1
114,"[0, 3]",d,0,0.0,1
115,"[0, 3]",l,0,8.100000000000001e-07,2
116,"[1, 3]",l,0,0.0002682,2
117,"[2, 3]",u,1,0.029701,0
118,"[0, 0]",l,0,0.0,2
119,"[1, 0]",r,0,0.0,3
120,"[0, 0]",l,0,0.0,2
121,"[1, 0]",u,0,0.0,0
122,"[1, 0]",d,0,0.0,1
123,"[1, 1]",u,0,0.0,0
124,"[1, 0]",d,0,0.0,1
125,"[1, 1]",r,0,0.0,3
126,"[0, 1]",d,0,0.0,1
127,"[0, 2]",u,0,0.0,0
128,"[0, 1]",u,0,0.0,0
129,"[0, 0]",r,0,0.0,3
130,"[0, 0]",r,0,0.0,3
131,"[0, 0]",u,0,0.0,0
132,"[0, 0]",u,0,0.0,0
133,"[0, 0]",r,0,0.0,3
134,"[0, 0]",r,0,0.0,3
135,"[0, 0]",d,0,0.0,1
136,"[0, 1]",d,0,0.0,1
137,"[0, 2]",d,0,7.290000000000002e-09,1
138,"[0, 3]",u,0,6.561000000000002e-11,0
139,"[0, 2]",d,0,1.4507100000000004e-08,1
140,"[0, 3]",l,0,3.2157000000000004e-06,2
141,"[1, 3]",l,0,0.000532827,2
142,"[2, 3]",u,1,0.03940399,0
143,"[0, 0]",d,0,0.0,1
144,"[0, 1]",d,0,1.3056390000000004e-10,1
145,"[0, 2]",d,0,4.330332900000001e-08,1
146,"[0, 3]",l,0,7.978986000000001e-06,2
147,"[1, 3]",l,0,0.0008821346400000001,2
148,"[2, 3]",u,1,0.0490099501,0
149,"[0, 0]",u,0,0.0,0
150,"[0, 0]",l,0,0.0,2
151,"[1, 0]",u,0,0.0,0
152,"[1, 0]",d,0,0.0,1
153,"[1, 1]",l,-1,-0.01,2
154,"[0, 0]",r,0,0.0,3
155,"[0, 0]",l,0,0.0,2
156,"[1, 0]",u,0,0.0,0
157,"[1, 0]",d,0,0.0,1
158,"[1, 1]",r,0,1.1750751000000005e-12,3
159,"[0, 1]",d,0,5.189882220000001e-10,1
160,"[0, 2]",d,0,1.1468116971000003e-07,1
161,"[0, 3]",l,0,1.5838407900000004e-05,2
162,"[1, 3]",l,0,0.0013144028445,2
163,"[2, 3]",u,1,0.058519850599,0
164,"[0, 0]",l,0,0.0,2
165,"[1, 0]",d,0,1.0575675900000005e-14,1
166,"[1, 1]",r,0,5.834218347000002e-12,3
167,"[0, 1]",d,0,1.5459288671700005e-09,1
168,"[0, 2]",l,-1,-0.0199,2
169,"[0, 0]",u,0,0.0,0
170,"[0, 0]",l,0,9.518108310000005e-17,2
171,"[1, 0]",d,0,6.297788426400003e-14,1
172,"[1, 1]",r,0,1.9689235968060007e-11,3
173,"[0, 1]",d,0,2.562600105888301e-09,1
174,"[0, 2]",d,0,2.5608002911290007e-07,1
175,"[0, 3]",d,0,1.4254567110000003e-07,1
176,"[0, 3]",l,0,2.7509649421500006e-05,2
177,"[1, 3]",l,0,0.001827937471446,2
178,"[2, 3]",u,1,0.06793465209301,0
179,"[0, 0]",l,0,6.610302306450003e-16,2
180,"[1, 0]",d,0,2.395512291339001e-13,1
181,"[1, 1]",r,0,4.2555744561374115e-11,3
182,"[0, 1]",d,0,4.841694366845519e-09,1
183,"[0, 2]",d,0,5.011060736152711e-07,1
184,"[0, 3]",l,0,4.368599017029901e-05,2
185,"[1, 3]",l,0,0.00242106996556863,2
186,"[2, 3]",u,1,0.07725530557207991,0
187,"[0, 0]",l,0,2.8103809905436513e-15,2
188,"[1, 0]",u,0,2.155961062205101e-15,0
189,"[1, 0]",d,0,6.201574178949282e-13,1
190,"[1, 1]",r,0,8.570543641737004e-11,3
191,"[0, 1]",d,0,9.303232085714505e-09,1
192,"[0, 2]",d,0,8.892689244118096e-07,1
193,"[0, 3]",u,0,8.068374219706286e-09,0
194,"[0, 2]",d,0,1.2735501467003825e-06,1
195,"[0, 3]",l,0,6.50387599587137e-05,2
196,"[1, 3]",l,0,0.003092157016061663,2
197,"[2, 3]",r,0,2.782941314455497e-05,3
198,"[1, 3]",l,0,0.0037565331960497657,2
199,"[2, 3]",u,1,0.0864827525163591,0
200,"[0, 0]",l,0,8.363693941692568e-15,2
201,"[1, 0]",d,0,1.3853047714723092e-12,1
202,"[1, 1]",r,0,1.685774708246269e-10,3
203,"[0, 1]",d,0,2.0672151085160805e-08,1
204,"[0, 2]",d,0,1.846163484861802e-06,1
205,"[0, 3]",d,0,7.264690540174234e-07,1
206,"[0, 3]",l,0,9.819717112357445e-05,2
207,"[1, 3]",l,0,0.0044973126367365,2
